Ateneo;Posti Disponibili
Università degli Studi di VERONA;222
Università degli Studi di Roma La Sapienza;1156
Università degli Studi di BOLOGNA;614
Universirà degli studi di Parma;300
Università degli Studi G. d'Annunzio CHIETI-PESCARA;216
Università degli Studi INSUBRIA Varese-Como;149
Università degli studi di Padova;473
Università degli Studi di TRENTO;60
Università degli Studi di MODENA e REGGIO EMILIA;172
Università degli Studi di MESSINA;447
Università degli Studi di MILANO;515
Università degli Studi di BARI ALDO MORO;399
Università degli Studi di Roma Tor vergata;290
Università degli Studi di MACERATA;0
Università degli Studi di Salerno;156
Università di Pisa;288
Università del Salento;57
Università degli Studi di BRESCIA;229
Università degli Studi Magna Graecia di CATANZARO;300
Università degli Studi del PIEMONTE ORIENTALE Amedeo Avogadro-Vercelli;188
Università degli Studi di CATANIA;400
Università degli Studi di Siena;248
Università degli Studi di TORINO;545
Università degli Studi di UDINE;148
Università degli Studi di FERRARA;419
Università Politecnica delle Marche;300
Università degli studi di Palermo;475
Università degli Studi di FOGGIA;179
Università degli Studi di GENOVA;290
Università della Campania - Luigi Vanvitelli;620
Università degli Studi di MILANO-BICOCCA;176
Università degli Studi di Napoli Federico II;623
Università degli Studi di TRIESTE;180
Università degli Studi di FIRENZE;378
Università degli studi di Perugia;311
Università della CALABRIA;68
Università degli Studi di Sassari;139
Università degli studi di Pavia;401
Università degli Studi della BASILICATA;60
Università degli Studi di CAMERINO;0
Università degli Studi del Molise;115
Università degli Studi di CASSINO e del LAZIO MERIDIONALE;0
Università degli Studi di Urbino Carlo Bo;0
Università degli Studi di Teramo;0
Università degli Studi della TUSCIA;0
Università degli Studi di CAGLIARI;240
Università degli Studi dell'AQUILA;151
