Posizione;Ateneo;Codice;C.L.C.S.;Logica;Biologia;Chimica;Mat e Fisica;Punteggio TOT
1;Università degli Studi di VERONA;211212200054430;6;7,5;34,5;22,5;19,5;90
2;Università degli Studi di Roma La Sapienza;100012102154330;6;7,5;32,6;18,7;18;82,8
3;Università degli Studi di BOLOGNA;222000200044322;6;7,5;28,8;20,6;19,5;82,4
4;Universirà degli studi di Parma;10011111052232;6;7,5;31,1;19,1;17,6;81,3
5;Università degli Studi di BOLOGNA;211212002254432;6;5,6;31,5;19,5;17,6;80,2
6;Università degli Studi G. d'Annunzio CHIETI-PESCARA;10222002112330;4,1;7,5;32,6;20,6;14,6;79,4
7;Università degli Studi INSUBRIA Varese-Como;111212221214431;6;7,5;31,1;18,7;16,1;79,4
8;Università degli studi di Padova;112110011012420;6;7,5;29,6;22,5;13,8;79,4
9;Università degli Studi di MESSINA;121210210254321;4,5;7,5;32,6;22,5;11,9;79
10;Università degli Studi di TRENTO;110110121012221;6;5,6;31,1;18,7;17,6;79
11;Università degli Studi di MODENA e REGGIO EMILIA;120010220152322;4,5;7,5;28,8;18,7;19,5;79
12;Università degli Studi di VERONA;10220044431;6;7,5;26,6;19,1;19,5;78,7
13;Università degli Studi di MILANO;20112201042222;1,1;7,5;33;22,5;14,2;78,3
14;Università degli Studi di BARI ALDO MORO;11021101152431;6;5,6;30,7;19,5;16,5;78,3
15;Università degli Studi di MILANO;222222012144322;4,5;5,6;29,6;22,5;16,1;78,3
16;Università degli Studi di Roma Tor vergata;221222202214421;4,5;5,6;33;16,5;17,6;77,2
17;Università degli Studi di Salerno;21122020152332;4,1;5,6;30,7;22,5;14,2;77,1
18;Università degli Studi di MACERATA;102102120152322;4,5;7,5;28,8;22,5;13,8;77,1
19;Università del Salento;102020201054221;4,5;5,6;28,5;20,6;17,6;76,8
20;Università di Pisa;22002000052220;4,5;7,5;27,7;19,5;17,6;76,8
21;Università degli Studi di BRESCIA;221121002244331;4,1;7,5;30,7;20,6;13,8;76,7
22;Università degli Studi Magna Graecia di CATANZARO;110010222042220;4,1;7,5;30,7;20,6;13,8;76,7
23;Università degli Studi INSUBRIA Varese-Como;200010221112420;4,1;7,5;30,7;18,7;15,7;76,7
24;Università degli Studi di TRENTO;202012110212222;6;5,6;25;22,5;17,6;76,7
25;Università degli Studi del PIEMONTE ORIENTALE Amedeo Avogadro-Vercelli;200222000242220;4,5;7,5;32,6;19,1;12,7;76,4
26;Università degli Studi di CATANIA;1110211154430;4,5;5,6;31,1;20,6;14,6;76,4
27;Università degli Studi del PIEMONTE ORIENTALE Amedeo Avogadro-Vercelli;121112202052231;4,5;7,5;31,5;19,5;13,1;76,1
28;Università degli Studi di Siena;21200221254220;4,1;7,5;31,1;15,7;17,6;76
29;Università degli Studi di TORINO;10100201012432;3;5,6;31,5;17,6;18;75,7
30;Università degli Studi di BARI ALDO MORO;202002210012230;4,1;5,6;29,2;22,5;14,2;75,6
31;Università degli Studi di Roma La Sapienza;220011120042330;6;3,7;28,8;22,5;14,2;75,2
